Ticker,Event_Date,Surprise_Pct,CAR_20d,Profitable_20d
TSLA,2025-01-29 16:00:00,-5.11,-0.3128832518322603,0
MSFT,2025-01-29 16:00:00,3.47,-0.09159930853988207,0
META,2025-01-29 16:00:00,18.67,0.09186755020309578,1
DECK,2025-01-30 16:00:00,14.85,-0.3913928453010719,0
AAPL,2025-01-30 16:00:00,2.52,0.10973173012115811,1
APPF,2025-01-30 16:00:00,-2.25,-0.14817629933764476,0
QCOM,2025-02-05 16:00:00,14.2,-0.009177167804708786,0
CROX,2025-02-13 07:00:00,11.31,0.18049437186310946,1
WING,2025-02-19 08:00:00,9.64,-0.21728552421861724,0
CHDN,2025-02-19 16:00:00,-2.87,-0.014023731576291887,0
CAKE,2025-02-19 16:00:00,13.63,0.012180442282216264,1
SFM,2025-02-20 16:00:00,6.73,-0.09456084693573408,0
FND,2025-02-20 16:00:00,73.21,-0.058433677332877076,0
TXRH,2025-02-20 16:00:00,5.56,0.07965858135815573,1
DUOL,2025-02-28 06:00:00,-24.49,-0.1136928117589433,0
ONON,2025-03-04 05:00:00,83.84,-0.010600127479386101,0
OLLI,2025-03-19 07:00:00,-0.41,0.14955558659230817,1
FIVE,2025-03-19 16:00:00,3.29,0.03297939427290053,1
RH,2025-04-02 16:00:00,-17.17,-0.04390094784632137,0
TSLA,2025-04-22 16:00:00,-34.89,0.2207227216384665,1
LII,2025-04-23 06:00:00,3.61,-0.04158585554692107,0
CHDN,2025-04-23 16:00:00,2.48,-0.16185240193153838,0
APPF,2025-04-24 16:00:00,-1.17,-0.11073554204312952,0
WING,2025-04-30 08:00:00,18.5,0.380814663049586,1
MSFT,2025-04-30 16:00:00,7.4,0.11564951520955269,1
CAKE,2025-04-30 16:00:00,13.91,-0.012732190046834235,0
META,2025-04-30 16:00:00,23.11,0.12819651387536735,1
QCOM,2025-04-30 16:00:00,1.19,-0.05547430801728026,0
SFM,2025-04-30 16:00:00,17.12,-0.043276583808689595,0
DUOL,2025-05-01 16:00:00,5.59,0.281003306224357,1
AAPL,2025-05-01 16:00:00,1.69,-0.10877918892218441,0
FND,2025-05-01 16:00:00,0.51,-0.1125364155850953,0
CROX,2025-05-08 07:00:00,20.56,0.01602047555469721,1
TXRH,2025-05-08 16:00:00,-3.27,0.09169883298628234,1
ONON,2025-05-13 05:00:00,-5.17,0.07683173653657405,1
DECK,2025-05-22 16:00:00,65.07,-0.21610817628567425,0
OLLI,2025-06-03 07:00:00,5.82,0.08299510663575738,1
FIVE,2025-06-04 16:00:00,3.36,0.07578033361842229,1
RH,2025-06-12 16:00:00,290.76,0.030318168056101213,1
LII,2025-07-23 06:00:00,13.91,-0.056798875200940846,0
CHDN,2025-07-23 16:00:00,2.85,-0.04423448602996938,0
TSLA,2025-07-23 16:00:00,-1.11,-0.015055568468089309,0
DECK,2025-07-24 16:00:00,36.6,0.0598995187471657,1
CAKE,2025-07-29 16:00:00,9.16,-0.08160741228505086,0
WING,2025-07-30 07:00:00,15.0,0.08046894930314585,1
META,2025-07-30 16:00:00,20.96,0.03683330720266198,1
QCOM,2025-07-30 16:00:00,2.05,-0.012389078220377492,0
MSFT,2025-07-30 16:00:00,8.09,-0.012553702214478046,0
SFM,2025-07-30 16:00:00,9.43,-0.1640765445806449,0
APPF,2025-07-31 16:00:00,8.35,0.06317936164023918,1
AAPL,2025-07-31 16:00:00,10.12,0.07015950532263515,1
FND,2025-07-31 16:00:00,4.28,0.03654271691771305,1
DUOL,2025-08-06 16:00:00,31.85,-0.21677548446199946,0
CROX,2025-08-07 07:00:00,5.26,-0.1001911781911613,0
TXRH,2025-08-07 16:00:00,-2.53,-0.11956298227331286,0
ONON,2025-08-12 05:00:00,-142.7,-0.11997416083790657,0
FIVE,2025-08-27 16:00:00,29.38,0.07384154186983427,1
OLLI,2025-08-28 07:00:00,6.77,-0.061364901085857126,0
RH,2025-09-11 16:00:00,-8.91,-0.2995528039407015,0
LII,2025-10-22 06:00:00,2.02,-0.14439535136385673,0
CHDN,2025-10-22 16:00:00,10.85,0.21100439232741208,1
TSLA,2025-10-22 16:00:00,-10.53,-0.06598319425399612,0
DECK,2025-10-23 16:00:00,15.06,-0.1288000300320875,0
CAKE,2025-10-28 16:00:00,13.04,-0.1473722514850878,0
MSFT,2025-10-29 16:00:00,12.73,-0.0760458897226064,0
SFM,2025-10-29 16:00:00,4.57,-0.2300329246517493,0
META,2025-10-29 16:00:00,-84.34,-0.13752593433554938,0
CROX,2025-10-30 07:00:00,23.71,0.012580085295356924,1
FND,2025-10-30 16:00:00,16.71,-0.09670379984250244,0
AAPL,2025-10-30 16:00:00,4.52,0.07542187378159171,1
APPF,2025-10-30 16:00:00,-9.8,-0.05923025151989714,0
WING,2025-11-04 07:00:00,19.04,0.08903878951772581,1
QCOM,2025-11-05 16:00:00,4.32,-0.009334589309409447,0
DUOL,2025-11-05 16:00:00,326.9,-0.259233782610761,0
TXRH,2025-11-06 16:00:00,-2.24,-0.0005907696415941022,0
ONON,2025-11-12 05:00:00,60.02,0.3147151139621801,1
FIVE,2025-12-03 16:00:00,165.43,0.16844282121725385,1
OLLI,2025-12-09 07:00:00,2.43,-0.025270648798885298,0
RH,2025-12-11 16:00:00,-20.9,0.32579444995798124,1
LII,2026-01-28 06:00:00,-5.74,0.10344752076278929,1
TSLA,2026-01-28 16:00:00,10.96,-0.06461112776459821,0
META,2026-01-28 16:00:00,8.0,0.0644935647658893,1
